UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
SC,Águas de Chapecó,420050,4200507,SC,Águas de Chapecó,"-27,0754","-52,9808",Região Sul,6110,Pequeno I,0,0,0,0,26,1,0,2,0,17,0,0,0,0,0
SP,Águas de Lindóia,350050,3500501,SP,Águas de Lindóia,"-22,4733","-46,6314",Região Sudeste,17266,Pequeno I,0,0,0,0,7,4,1,0,0,99,1,0,0,0,0
SP,Águas de Santa Bárbara,350055,3500550,SP,Águas de Santa Bárbara,"-22,8812","-49,2421",Região Sudeste,5601,Pequeno I,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0
SP,Águas de São Pedro,350060,3500600,SP,Águas de São Pedro,"-22,5977","-47,8734",Região Sudeste,2707,Pequeno I,0,0,0,0,27,3,0,0,0,59,0,0,0,0,0
MG,Águas Formosas,310090,3100906,MG,Águas Formosas,"-17,0802","-40,9384",Região Sudeste,18479,Pequeno I,0,0,0,0,205,6,0,0,0,88,2,0,0,0,0
SC,Águas Frias,420055,4200556,SC,Águas Frias,"-26,8794","-52,8568",Região Sul,2424,Pequeno I,0,0,0,0,1,11,0,0,0,9,0,0,0,0,0
GO,Águas Lindas de Goiás,520025,5200258,GO,Águas Lindas de Goiás,"-15,7617","-48,2816",Região Centro-Oeste,159378,Grande,0,0,0,0,1098,15,0,0,0,19,43,0,0,0,0
SC,Águas Mornas,420060,4200606,SC,Águas Mornas,"-27,6963","-48,8243",Região Sul,5548,Pequeno I,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
MG,Águas Vermelhas,310100,3101003,MG,Águas Vermelhas,"-15,7431","-41,4571",Região Sudeste,12722,Pequeno I,0,0,4,0,21,0,0,0,0,17,0,0,0,0,0
RS,Agudo,430010,4300109,RS,Agudo,"-29,6447","-53,2515",Região Sul,16722,Pequeno I,0,0,0,0,0,0,0,50,0,2,0,0,0,0,0
SP,Agudos,350070,3500709,SP,Agudos,"-22,4694","-48,9863",Região Sudeste,34524,Pequeno II,0,0,0,0,27,2,0,1,0,2,1,0,0,0,0
PR,Agudos do Sul,410030,4100301,PR,Agudos do Sul,"-25,9899","-49,3343",Região Sul,8270,Pequeno I,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0
ES,Águia Branca,320013,3200136,ES,Águia Branca,"-18,9846","-40,7437",Região Sudeste,9519,Pequeno I,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PB,Aguiar,250020,2500205,PB,Aguiar,"-7,0918","-38,1681",Região Nordeste,5530,Pequeno I,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TO,Aguiarnópolis,170030,1700301,TO,Aguiarnópolis,"-6,55409","-47,4702",Região Norte,5162,Pequeno I,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0
MG,Aimorés,310110,3101102,MG,Aimorés,"-19,5007","-41,0746",Região Sudeste,24959,Pequeno II,0,2,1,0,68,6,0,0,0,68,36,0,0,0,0
BA,Aiquara,290060,2900603,BA,Aiquara,"-14,1269","-39,8937",Região Nordeste,4602,Pequeno I,0,0,2,0,12,1,0,0,0,1,0,0,0,0,0
CE,Aiuaba,230040,2300408,CE,Aiuaba,"-6,57122","-40,1178",Região Nordeste,16203,Pequeno I,0,1,1,0,10,0,0,0,0,14,0,0,0,0,0
MG,Aiuruoca,310120,3101201,MG,Aiuruoca,"-21,9736","-44,6042",Região Sudeste,6162,Pequeno I,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
RS,Ajuricaba,430020,4300208,RS,Ajuricaba,"-28,2342","-53,7757",Região Sul,7255,Pequeno I,0,0,0,0,6,0,0,1,0,17,0,0,0,0,0
MG,Alagoa,310130,3101300,MG,Alagoa,"-22,171","-44,6413",Região Sudeste,2709,Pequeno I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PB,Alagoa Grande,250030,2500304,PB,Alagoa Grande,"-7,03943","-35,6206",Região Nordeste,28479,Pequeno II,0,0,8,0,41,2,0,0,0,26,27,0,0,0,0
PB,Alagoa Nova,250040,2500403,PB,Alagoa Nova,"-7,05377","-35,7591",Região Nordeste,19681,Pequeno I,0,0,4,0,44,0,0,0,0,6,39,0,0,0,0
PB,Alagoinha,250050,2500502,PB,Alagoinha,"-6,94657","-35,5332",Região Nordeste,13576,Pequeno I,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PE,Alagoinha,260060,2600609,PE,Alagoinha,"-8,4665","-36,7788",Região Nordeste,13759,Pequeno I,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0
PI,Alagoinha do Piauí,220025,2200251,PI,Alagoinha do Piauí,"-7,00039","-40,9282",Região Nordeste,7341,Pequeno I,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
BA,Alagoinhas,290070,2900702,BA,Alagoinhas,"-12,1335","-38,4208",Região Nordeste,141949,Grande,0,0,2,0,1261,28,0,0,0,93,44,0,0,1,0
SP,Alambari,350075,3500758,SP,Alambari,"-23,5503","-47,898",Região Sudeste,4884,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Albertina,310140,3101409,MG,Albertina,"-22,2018","-46,6139",Região Sudeste,2913,Pequeno I,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
MA,Alcântara,210020,2100204,MA,Alcântara,"-2,39574","-44,4062",Região Nordeste,21851,Pequeno II,0,0,13,0,0,0,0,0,0,3,3,0,0,0,0
CE,Alcântaras,230050,2300507,CE,Alcântaras,"-3,58537","-40,5479",Região Nordeste,10771,Pequeno I,0,0,2,0,12,0,0,0,0,9,1,0,0,0,0
PB,Alcantil,250053,2500536,PB,Alcantil,"-7,73668","-36,0511",Região Nordeste,5239,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,Alcinópolis,500025,5000252,MS,Alcinópolis,"-18,3255","-53,7042",Região Centro-Oeste,4569,Pequeno I,0,0,1,0,249,6,0,0,0,19,0,0,0,0,0
